# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	Resources\Textures\Item\misc.png	176	224	248
5	Resources\Textures\Title\ui.png	255	127	39
10	Resources\Textures\Enemy\enemies1.png	3	26	100
20	Resources\Textures\Item\misc1.png	255	255	255
30	Resources\Textures\Enemy\enemy.png	255	255	255
40	Resources\Textures\Enemy\enemies.png	255	255	255
50	Resources\Textures\Enemy\enemies_custom_2.png	255	255	255
51	Resources\Textures\Enemy\enemies_custom.png	255	255	255
45	Resources\Textures\Enemy\enemies-5.png	0	255	255
46	Resources\Textures\Enemy\enemies-5_1.png	0	255	255
47	Resources\Textures\Item\effect.png	176	224	248

# id	left	top	width	height	texture_id
[SPRITES]
#FIRE BANG
1111	527	20	16	16	1
1112	546	22	12	12	1
1113	561	22	12	12	1
1114	576	23	11	10	1
#GOOMBA
30001	9	11	16	16	30
30002	32	11	16	16	30
#die
30003	54	11	16	16	30
#die fly
30004	216	11	16	16	30
#RED GOOMBA
#GOOMBA RED HAS WING WALK
30005	140	35	20	24	30
30006	116	35	20	24	30
#GOOMBA RED HAS WING FLY
30007	90	35	20	24	30
30008	66	35	20	24	30
#GOOMBA RED NO WING WALK
30009	121	62	20	24	30
30010	100	62	20	24	30
#GOOMBA RED NO WING DIE
30011	141	62	20	24	30
#GOOMBA RED DIE FLY
30012	244	11	20	24	30

#----------------- HUD ------------------

#[NUMBER + FONT]
0	77	31	8	7	5
1	87	31	8	7	5
2	97	31	8	7	5
3	107	31	8	7	5
4	117	31	8	7	5
5	127	31	8	7	5
6	137	31	8	7	5
7	147	31	8	7	5
8	157	31	8	7	5
9	167	31	8	7	5

#[main card]
20	12	128	152	29	5

#[item card]
#empty card
21	160	159	24	28	5
#mushroom card
22
#flower card
23
#star card
24
#mario tag
25	16	161	16	7	5
#luigi tag
26	16	171	16	7	5
#bar segment unfill
27	91	162	8	7	5
#bar segment fill
28	64	162	8	7	5
#p unfill
29	100	162	15	7	5
#p fill
30	73	162	15	7	5



#======KOOPAS=============
#=====Red Koopa===========
#KOOPA WALKING LEFT
30050	27	65	17	28	45
30051	46	66	17	27	45
#KOOPA WALKING RIGHT
30052	260	66	17	27	46
30053	279	65	17	28	46
#KOOPA DIE
30054	236	3	17	27	45
#KOOPA DIE AND MOVE
30055	257	2	17	27	45
30056	278	2	17	27	45
30062	248	230	17	27	45
#KOOPA DIE UP
30057	238	41	17	27	45
#KOOPA REVIAL UP
30058	278	84	16	27	45
30064	277	84	17	27	45
#KOOPA REVIAL 
30059	71	64	18	27	45
30065	70	64	19	27	45
#KOOPA DIE AND MOVE UP
30060	259	42	17	27	45
30061	280	42	17	27	45
30063	248	266	17	27	45

#=======Green Koopa========
#KOOPA WALKING LEFT
30080	30	117	17	28	45
30081	49	118	17	27	45
#KOOPA WALKING RIGHT
30082	276	117	17	28	46
